Time,Temperature,Humidity,AirQuality
2024-01-08 16:52:20,27.6,35.0,High
2024-01-08 16:52:22,27.6,35.0,High
2024-01-08 16:52:24,27.6,35.1,High
2024-01-08 16:52:27,27.6,35.1,High
2024-01-08 16:52:29,27.6,35.0,High
2024-01-08 16:52:31,27.6,35.0,High
2024-01-08 16:52:34,27.6,35.0,High
2024-01-08 16:52:36,27.6,34.8,High
2024-01-08 16:52:38,27.6,34.9,High
2024-01-08 16:52:40,27.6,34.9,High
2024-01-08 16:52:43,27.6,35.0,High
2024-01-08 16:52:45,27.6,35.0,High
2024-01-08 16:52:47,27.6,35.0,High
2024-01-08 16:52:49,27.6,35.0,High
2024-01-08 16:52:52,27.6,35.0,High
2024-01-08 16:52:54,27.6,35.0,High
2024-01-08 16:52:56,27.6,35.1,High
2024-01-08 16:53:01,27.6,35.1,High
2024-01-08 16:53:03,27.6,35.1,High
2024-01-08 16:53:05,27.6,35.0,High
2024-01-08 16:53:07,27.6,34.9,High
2024-01-08 16:53:10,27.6,34.9,High
2024-01-08 16:53:12,27.6,35.0,High
2024-01-08 16:53:14,27.6,35.0,High
2024-01-08 16:53:16,27.6,34.9,High
2024-01-08 16:53:19,27.6,34.8,High
2024-01-08 16:53:21,27.6,34.9,High
2024-01-08 16:53:25,27.6,34.9,High
2024-01-08 16:53:28,27.6,35.0,High
2024-01-08 16:53:30,27.6,35.0,High
2024-01-08 16:53:34,27.6,35.0,High
2024-01-08 16:53:37,27.6,35.0,High
2024-01-08 16:53:39,27.6,35.0,High
2024-01-08 16:53:44,27.6,34.9,High
2024-01-08 16:53:46,27.6,34.9,High
2024-01-08 16:53:48,27.6,34.8,High
2024-01-08 16:53:50,27.6,34.8,High
2024-01-08 16:53:53,27.7,34.9,High
2024-01-08 16:53:55,27.6,35.0,High
2024-01-08 16:53:59,27.6,35.0,High
2024-01-08 16:54:02,27.7,35.0,High
2024-01-08 16:54:04,27.6,35.0,High
2024-01-08 16:54:06,27.6,35.0,High
2024-01-08 16:54:11,27.6,35.2,High
2024-01-08 16:54:13,27.7,35.1,High
2024-01-08 16:54:15,27.6,35.1,High
2024-01-08 16:54:17,27.6,35.0,High
2024-01-08 16:54:20,27.7,34.8,High
2024-01-08 16:54:22,27.7,34.8,High
2024-01-08 16:54:26,27.7,34.7,High
2024-01-08 16:54:29,27.6,34.8,High
2024-01-08 16:54:31,27.6,34.8,High
2024-01-08 16:54:35,27.7,34.9,High
2024-01-08 16:54:38,27.7,34.9,High
2024-01-08 16:54:40,27.7,35.0,High
2024-01-08 16:54:42,27.6,35.0,High
2024-01-08 16:54:44,27.7,35.0,High
2024-01-08 16:54:47,27.7,35.0,High
2024-01-08 16:54:49,27.7,34.9,High
2024-01-08 16:54:51,27.7,34.9,High
2024-01-08 16:54:54,27.7,35.0,High
2024-01-08 16:54:56,27.7,34.8,High
2024-01-08 16:54:58,27.7,34.9,High
2024-01-08 16:55:00,27.7,34.9,High
2024-01-08 16:55:03,27.7,35.0,High
2024-01-08 16:55:05,27.7,34.9,High
2024-01-08 16:55:09,27.7,34.9,High
2024-01-08 16:55:12,27.7,35.0,High
2024-01-08 16:55:14,27.7,35.0,High
2024-01-08 16:55:16,27.7,35.0,High
2024-01-08 16:55:23,27.7,35.0,High
2024-01-08 16:55:25,27.7,35.0,High
2024-01-08 16:55:27,27.7,35.0,High
2024-01-08 16:55:30,27.7,35.0,High
2024-01-08 16:55:32,27.7,35.0,High
2024-01-08 16:55:34,27.7,34.9,High
2024-01-08 16:55:36,27.7,34.9,High
2024-01-08 16:55:39,27.7,34.9,High
2024-01-08 16:55:41,27.7,34.9,High
2024-01-08 16:55:43,27.7,34.9,High
2024-01-08 16:55:48,27.7,34.9,High
2024-01-08 16:55:50,27.7,34.8,High
2024-01-08 16:55:52,27.7,34.9,High
2024-01-08 16:55:54,27.7,34.9,High
2024-01-08 16:55:57,27.7,34.9,High
2024-01-08 16:55:59,27.7,36.0,High
2024-01-08 16:56:01,27.7,41.0,High
2024-01-08 16:56:04,27.7,48.7,High
2024-01-08 16:56:06,27.7,43.3,High
2024-01-08 16:56:08,27.7,40.5,High
2024-01-08 16:56:10,27.7,38.4,High
2024-01-08 16:56:13,27.7,37.1,High
2024-01-08 16:56:15,27.7,36.4,High
2024-01-08 16:56:19,27.7,35.8,High
2024-01-08 16:56:22,27.7,35.6,High
2024-01-08 16:56:24,27.7,35.3,High
2024-01-08 16:56:26,27.7,35.2,High
2024-01-08 16:56:28,27.7,35.1,High
2024-01-08 16:56:31,27.7,35.2,High
2024-01-08 16:56:33,27.7,35.2,High
2024-01-08 16:56:35,27.7,35.1,High
2024-01-08 16:56:37,27.7,35.1,High
2024-01-08 16:56:40,27.7,35.0,High
2024-01-08 16:56:42,27.7,35.0,High
2024-01-08 16:56:44,27.7,35.0,High
2024-01-08 16:56:46,27.7,35.0,High
2024-01-08 16:56:49,27.7,35.1,High
2024-01-08 16:56:51,27.7,35.1,High
2024-01-08 16:56:53,27.7,35.1,High
2024-01-08 16:56:55,27.7,34.9,High
2024-01-08 16:56:58,27.7,34.9,High
2024-01-08 16:57:00,27.7,34.9,High
2024-01-08 16:57:02,27.7,34.9,High
2024-01-08 16:57:04,27.7,34.8,High
2024-01-08 16:57:09,27.7,34.9,High
2024-01-08 16:57:14,27.7,34.8,High
2024-01-08 16:57:16,27.7,34.8,High
2024-01-08 16:57:20,27.7,34.9,High
2024-01-08 16:57:23,27.7,34.8,High
2024-01-08 16:57:25,27.7,34.8,High
2024-01-08 16:57:27,27.7,34.8,High
2024-01-08 16:57:29,27.7,34.8,High
2024-01-08 16:57:32,27.7,34.8,High
2024-01-08 16:57:34,27.7,34.9,High
2024-01-08 16:57:36,27.7,34.8,High
